Group,StudInLesson,Day,Les,Aud,Week,Subg,Name,CafI,Subject,Subj_type,Date,Subj_CafID,PrepID,Themas,Substitution_Name,Substitution_PrepID,Substitution_Subject,Substitution_Subj_type,Substitution_Subj_CafID,Lesson_ID,Lesson_Num
Бараш Л.А.,0,1,1,1-5,26,0,Белоусова И.А.,15,ЧИПфд-02-21,л.,2022-02-14,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,1,2,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-14,15,169,По теме занятия,,,,,,,
ЧПКфд-01-20,0,1,3,1-5,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-14,15,202,По теме занятия,,,,,,,
ЧЭБфд-02-21,0,1,4,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-14,15,169,По теме занятия,,,,,,,
ЧЭБфд-01-21,0,1,4,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-14,15,169,По теме занятия,,,,,,,
ЧСАфд-01-21,0,1,5,1-5,26,0,Карпов А.И.,15,Информатика,л.,2022-02-14,15,178,По теме занятия,,,,,,,
ЧСАфд-01-20,0,2,1,1-5,26,0,Макарова К.Б.,15,Психология общения,л.,2022-02-15,15,185,По теме занятия,,,,,,,
ЧПКфд-02-20,0,2,2,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-15,15,169,По теме занятия,,,,,,,
ЧПКфд-02-20,0,2,3,1-5,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-15,15,202,По теме занятия,,,,,,,
ЧСАфд-02-21,0,2,4,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-15,15,169,По теме занятия,,,,,,,
ЧСАфд-01-21,0,2,4,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-15,15,169,По теме занятия,,,,,,,
ЧСАфд-02-21,0,2,5,1-5,26,0,Карпов А.И.,15,Математическое и имитационное моделирование,л.,2022-02-15,15,178,По теме занятия,,,,,,,
ЧПКфд-02-20,0,2,6,1-5,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-15,15,202,По теме занятия,,,,,,,
ЧИПфд-01-20,0,3,1,1-5,26,0,Макарова К.Б.,15,Психология общения,л.,2022-02-16,15,185,По теме занятия,,,,,,,
ЧПКфд-01-20,0,3,2,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-16,15,169,По теме занятия,,,,,,,
ЧИПфд-02-21,0,3,4,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-16,15,169,По теме занятия,,,,,,,
ЧИПфд-01-21,0,3,4,1-5,26,0,Жук Л.И.,15,Иностранный язык,л.,2022-02-16,15,169,По теме занятия,,,,,,,
ЧПКфд-01-20,0,3,5,1-5,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-16,15,202,По теме занятия,,,,,,,
ЧПКфд-01-20,0,3,6,1-5,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-16,15,202,По теме занятия,,,,,,,
ЧСАфд-02-21,0,4,1,1-5,26,0,Чайкина М.Л.,15,Физика,л.,2022-02-17,15,200,По теме занятия,,,,,,,
ЧСАфд-01-19,0,4,2,1-5,26,0,Жук Л.И.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-17,15,169,По теме занятия,,,,,,,
ЧИПфд-01-19,0,4,2,1-5,26,0,Жук Л.И.,15,Иностранный язык в профессиональной деятельности,л.,2022-02-17,15,169,По теме занятия,,,,,,,
ЧНПфд-01-19,0,4,4,1-5,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПКфд-02-20,0,4,5,1-5,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-17,15,202,По теме занятия,,,,,,,
ЧФУфд-02-19,0,4,6,1-5,26,0,Нубарян В.А.,15,Правовое обеспечение профессиональной деятельности,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧФУфд-01-19,0,4,6,1-5,26,0,Нубарян В.А.,15,Правовое обеспечение профессиональной деятельности,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПКфд-01-18,0,5,1,1-5,26,0,Чайкина М.Л.,15,Численные методы,л.,2022-02-18,15,200,По теме занятия,,,,,,,
ЧФУфд-02-19,0,5,2,1-5,26,0,Иджиян Т.Ю.,15,Иностранный язык,л.,2022-02-18,15,171,По теме занятия,,,,,,,
ЧФУфд-01-19,0,5,2,1-5,26,0,Иджиян Т.Ю.,15,Иностранный язык,л.,2022-02-18,15,171,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,5,3,1-5,26,0,Антонова Е.И.,15,Бухгалтерский учет и отчетность в бюджетных организациях,л.,2022-02-18,15,0,По теме занятия,,,,,,,
ЧППфд-01-19,0,5,4,1-5,26,0,Кузнецова О.О.,15,Правовые основы профессиональной деятельности,л.,2022-02-18,15,0,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,6,3,1-5,26,0,Антонова Е.И.,15,Бухгалтерский учет и отчетность в бюджетных организациях,л.,2022-02-19,15,0,По теме занятия,,,,,,,
ЧФУфд-02-21,0,1,1,1-6,26,0,Иджиян Т.Ю.,15,Иностранный язык,л.,2022-02-14,15,171,По теме занятия,,,,,,,
ЧФУфд-01-21,0,1,1,1-6,26,0,Иджиян Т.Ю.,15,Иностранный язык,л.,2022-02-14,15,171,По теме занятия,,,,,,,
ЧИПфд-02-21,0,1,3,1-6,26,0,Карпов А.И.,15,Информатика,л.,2022-02-14,15,178,По теме занятия,,,,,,,
